,pt_y1,eta_y1,phi_y1,e_y1,pt_y2,eta_y2,phi_y2,e_y2,myy,label
0,62.2385,1.2206,2.02509,114.652,58.7416,0.879753,-1.23967,82.9781,122.464,0
1,69.5362,-1.0435,-2.29563,110.958,48.7077,-2.01968,1.48524,186.759,125.308,1
2,59.3579,-1.88593,2.55248,200.16,37.6744,0.30935,-0.631185,39.4915,157.496,0
3,48.6983,0.522723,-0.696458,55.5043,40.7679,-1.18364,2.25178,72.8195,123.264,1
4,85.848,-0.45516,-3.09141,94.8951,44.3446,-1.71205,-0.0397853,126.843,148.477,0
5,45.1492,-1.08589,2.84707,74.4891,31.7896,1.54901,-0.658002,78.1909,150.985,0
6,47.8501,-1.24146,-2.98264,89.7102,42.0151,0.688642,-0.184767,52.3774,133.902,0
7,64.0543,0.737817,-1.01394,82.2944,50.6541,-0.0880675,2.06167,50.8506,123.718,1
8,40.7035,-1.04553,-0.800746,65.0528,38.8612,1.12285,1.97138,66.0438,130.24,0
9,59.5687,0.191838,-1.0867,60.6682,32.9761,-1.75571,2.74397,98.2746,130.711,0
10,38.4219,1.21628,-1.03571,70.5224,32.1897,-0.904123,2.07627,46.2673,113.705,0
11,52.5291,1.26988,0.391664,100.89,29.8755,-0.684064,-2.6925,37.1423,120.124,0
12,66.3118,0.334628,-1.46478,70.0592,38.7536,1.80552,2.9266,121.056,115.753,0
13,63.1589,0.151294,2.48379,63.8832,60.282,0.653127,-1.19877,73.603,122.968,1
14,37.6826,-1.18828,-0.21275,67.568,35.4705,1.52989,2.99942,85.7361,151.684,0
15,101.475,0.0671731,1.62777,101.704,27.841,-0.735502,-1.57332,35.7172,114.938,0
16,54.4536,0.376148,-0.899789,58.3515,41.5112,-1.15708,1.80848,72.5419,122.735,1
17,62.5936,0.998103,-2.69818,96.4477,51.5337,0.323192,0.485411,54.2486,120.096,1
18,53.542,-1.16405,-3.06203,94.1031,39.8569,0.480914,0.713513,44.5554,122.093,0
19,72.5787,-0.893383,-0.114343,103.521,55.9122,-1.17521,2.18758,99.1761,117.727,0
20,43.612,-1.67689,-1.53781,120.715,30.615,0.261718,1.5376,31.6696,110.159,0
21,38.8132,-0.838941,3.0265,53.2922,27.6778,2.17583,0.413526,123.485,154.293,0
22,67.0913,1.232,-2.28475,124.783,51.8874,1.91625,0.762052,180.117,124.852,1
23,42.0948,-0.231912,0.582705,43.2319,30.1634,2.33403,-2.4312,157.096,138.344,0
24,59.2058,-2.17428,0.717456,263.747,44.8771,-0.590177,-2.44413,52.9221,137.151,0
25,88.8838,-0.44245,2.07434,97.7266,69.0267,-0.721553,-1.08339,87.7889,158.18,0
26,108.762,-0.613566,-1.10109,129.885,37.5184,-0.678074,2.36812,46.4791,126.116,1
27,63.7777,0.82099,-1.68657,86.5062,62.9575,0.0453424,0.967458,63.0223,132.908,0
28,86.9787,-1.7703,0.780978,262.801,63.5245,-0.294144,1.07387,66.2925,121.909,1
29,78.4013,-1.38455,1.4133,166.347,27.7068,1.15536,1.23396,48.3497,153.092,0
30,45.9363,1.33581,0.560703,93.3891,39.59,-0.0923185,-2.93696,39.7589,106.913,0
31,65.3377,0.793455,-2.75264,87.007,47.0655,-0.290209,0.491284,49.0614,127.464,1
32,82.0624,-0.940766,2.03462,121.135,38.9517,0.0299922,-0.945966,38.9692,126.331,0
33,134.858,-0.85259,-2.04821,186.915,34.2747,0.484165,-0.78451,38.3711,126.551,1
34,56.3849,-2.08062,-1.28186,229.325,52.6171,-0.697828,1.08658,65.9568,129.68,1
35,44.8722,1.19041,1.11158,80.6022,38.61,-0.543196,-2.10154,44.4476,116.49,0
36,45.4349,-0.788141,2.12431,60.292,27.499,1.63552,-1.86741,73.2431,125.944,0
37,81.5301,-0.0408937,1.48203,81.5982,51.0713,-0.345939,-1.16121,54.1579,126.621,1
38,54.1653,1.24871,2.58708,102.175,46.7311,0.30394,-0.740049,48.9063,111.671,1
39,59.2331,-0.258891,2.28934,61.2293,55.9484,-1.16218,-0.904943,98.1807,127.042,1
40,66.4368,1.90813,0.944117,228.835,56.3726,1.7981,-2.25621,174.861,122.529,1
41,76.4599,1.53322,0.0876653,185.373,47.1262,1.85703,-2.85209,154.593,121.029,1
42,50.1717,-1.94041,1.09005,178.242,32.7675,0.0438453,-1.81708,32.799,124.024,1
43,51.6762,-0.527426,-2.03783,59.032,44.5149,1.06985,0.914897,72.515,127.857,1
44,75.0554,0.135011,-2.91635,75.7405,52.3343,-0.09079,-0.230285,52.5501,122.931,1
45,82.151,0.797719,-1.70129,109.705,41.2114,0.118724,1.7993,41.5022,121.377,1
46,65.4092,-1.12277,-1.27865,111.154,64.0047,-0.856126,2.49575,88.929,124.194,1
47,85.4363,-0.285784,-0.714087,88.949,47.1504,-1.51022,2.86764,111.949,148.924,0
48,62.4208,-0.64891,1.49489,76.0307,52.6346,-1.5177,-2.03774,125.822,123.636,1
49,97.1258,0.501682,-0.281551,109.607,33.7396,1.23547,2.66594,62.9361,121.778,0
50,115.932,-0.336228,0.294675,122.547,67.4572,-1.38009,1.31858,142.564,129.735,1
51,69.8693,0.705937,-2.20188,88.0139,47.5074,-0.1443,1.24777,48.0028,124.548,1
52,70.2291,1.13574,-0.936028,120.606,40.3386,1.96911,2.14214,147.314,115.777,0
53,81.9974,-1.7716,-2.27938,248.055,69.0706,-1.22109,2.33709,127.29,119.047,1
54,48.9063,-0.789971,2.59496,64.9767,43.8764,0.562517,0.418683,51.0031,106.28,0
55,86.4782,-1.15093,-0.0608754,150.363,43.5715,-0.681863,-2.56175,54.0991,120.09,1
56,61.3437,-0.021844,-1.3648,61.3583,60.9563,0.475239,1.6339,67.9704,125.794,1
57,62.0864,0.56627,1.81323,72.3096,42.4904,-0.686714,-1.44524,52.909,123.406,0
58,116.385,0.941162,-2.51301,171.85,32.9731,-0.5863,-1.23737,38.8045,127.586,0
59,49.9778,-1.26283,-1.34981,95.4145,45.0216,0.506448,1.34909,50.9198,132.854,0
60,45.7204,2.27029,-1.15883,223.698,38.9864,0.36121,2.28184,41.5575,125.288,1
61,60.6685,-1.28641,1.89435,118.183,59.5485,-0.539333,-1.21832,68.4212,128.685,1
62,69.6835,1.13935,2.87531,120.021,54.1519,0.649283,-0.382296,65.9729,126.364,1
63,40.7985,-0.52942,0.944531,46.6509,34.0172,-2.31828,-2.29504,174.452,106.289,0
64,159.044,0.45681,-2.12728,175.929,28.436,-0.716059,0.429323,36.043,153.474,0
65,76.3043,0.106056,0.590276,76.7339,26.814,1.31655,-2.38935,53.6091,107.299,0
66,75.7681,0.882602,2.74902,107.245,41.5325,0.113822,-0.726174,41.8018,119.137,0
67,77.1481,-0.621402,-1.0753,92.5286,72.3299,0.185871,2.81192,73.583,152.308,0
68,102.135,-0.874321,0.140764,143.724,31.3275,0.0286973,-2.81848,31.3404,124.434,1
69,61.6373,-0.829428,1.38637,84.0827,31.8415,0.724589,-1.78476,40.5725,116.715,0
70,92.0123,-0.340493,-0.560803,97.3978,27.6043,-1.80899,3.04415,86.5134,127.119,1
71,58.5666,2.01568,-1.12007,223.698,52.4026,0.915128,2.08291,75.9198,127.955,1
72,83.6435,0.436098,-1.68345,91.724,30.9078,1.16434,1.40361,54.335,108.471,0
73,54.9445,-0.384655,0.236449,59.0596,39.9771,0.71457,2.98528,50.6252,106.695,0
74,150.889,1.28054,-1.13003,292.457,127.183,1.97585,-1.69923,467.486,125.337,1
75,79.8576,1.55176,2.204,196.915,42.8262,1.68555,-0.716778,119.501,116.513,1
76,76.4488,-1.55052,0.587768,188.296,48.8708,-1.52391,-2.40184,117.485,121.906,0
77,86.4022,0.0378293,-0.577898,86.4641,32.5693,-1.52954,-2.30628,78.6986,122.315,1
78,67.0995,-1.21078,3.11663,122.593,55.6264,-0.83776,-0.0578444,76.3156,124.304,1
79,47.1441,0.963224,-1.3682,70.7584,31.3224,-1.35964,1.63438,65.0181,134.68,0
80,39.6753,-1.33177,-2.69949,80.3773,38.6076,1.00377,1.17623,59.7462,135.106,0
81,248.861,-1.14607,1.5949,430.989,33.5013,-1.61448,0.21041,87.51,124.293,1
82,46.0721,0.00609676,-1.01535,46.0729,27.8661,-2.09311,1.36422,114.716,111.762,0
83,61.4685,-1.80691,-1.66234,192.267,55.0388,-1.07913,1.48636,90.319,124.116,1
84,94.8276,-1.11438,-0.826822,160.059,54.5959,-1.22909,-2.9757,101.294,126.809,1
85,132.691,0.294591,-1.74044,138.49,36.4606,0.326192,0.570889,38.4176,127.315,0
86,41.0024,1.90806,0.98493,141.22,38.8041,-0.101394,-1.51792,39.0038,120.98,0
87,63.381,1.95728,2.00719,228.846,53.5251,0.648372,-0.790307,65.1754,140.936,0
88,83.223,-0.891086,1.20587,118.509,57.4675,-0.859102,-1.07228,80.0115,125.642,1
89,102.524,-0.180017,1.35871,104.19,47.672,-0.889471,-2.0021,67.8066,147.923,0
90,39.7624,-1.35287,0.764915,82.0496,30.1306,0.810057,-2.65787,40.5689,113.397,0
91,37.2839,-0.125056,-1.77774,37.5758,28.7337,2.01985,1.33703,110.192,106.853,0
92,56.3267,-0.411172,1.10661,61.1555,38.7089,-1.69607,-2.15716,109.079,113.189,0
93,58.445,1.20056,-1.13299,105.874,58.238,0.960772,1.89204,87.2497,117.326,0
94,52.2462,0.780183,0.396948,68.97,45.2205,2.11431,-2.69086,190.03,119.627,1
95,41.7519,-0.540952,-0.210134,48.0113,28.7911,2.05179,2.13701,113.873,133.574,0
96,54.1776,-0.331364,-1.96316,57.1793,42.4113,-1.35685,1.17909,87.8213,108.75,0
97,63.2244,-1.24549,0.686392,118.939,58.7282,-0.847409,-2.75073,81.1071,122.99,1
98,47.8413,-1.16923,0.610336,84.4428,27.6877,0.857294,-2.68891,38.5009,113.321,0
99,65.9631,-0.174368,-0.0390404,66.9684,29.8021,-1.72031,-2.79605,85.9088,115.273,0
100,45.7644,-0.181267,3.01542,46.5183,42.194,-2.34492,-2.01148,222.115,125.826,1
101,39.3186,-1.8367,-2.77307,126.51,38.5421,0.429885,0.0980393,42.1586,133.027,0
102,57.2846,-0.721106,1.88081,72.8351,44.2191,0.642482,-1.01428,53.6638,124.361,1
103,75.9189,-1.28878,0.300082,148.192,63.6473,-1.17802,-2.76755,113.159,139.144,0
104,52.6704,-2.02962,-2.46827,203.903,49.5622,-0.0839442,0.897723,49.737,154.052,0
105,66.6194,-0.43468,-1.73773,73.0128,66.3848,-0.854387,1.32299,92.1248,135.837,0
